break_type,group,source_table,total_employed_000s,worked_on_average_day_000s,worked_at_home_000s,pct_worked_at_home_of_those_who_worked,published_pct_one_decimal,seniority_proxy,agency,program,table,year,variable_or_question,url,url_secondary,funded_by,origin,confidence,notes
occupation,Professional and related,Table 7,48324,31756,14753,46.4573623882101,46.5,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
occupation,Service,Table 7,28485,15726,1657,10.53669083047183,10.5,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
occupation,Sales and related,Table 7,13800,8818,2819,31.96870038557496,32.0,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
occupation,Office and administrative support,Table 7,15738,9499,2536,26.69754711022213,26.7,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
occupation,Construction and extraction,Table 7,7967,5297,875,16.518784217481592,16.5,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
occupation,Production,Table 7,8849,5841,484,8.286252354048964,8.3,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
occupation,Transportation and material moving,Table 7,11186,7335,426,5.807770961145194,5.8,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
earnings_quartile,$0 – $840 (lowest quartile),Table 7,28317,19508,2593,13.291982776296903,13.3,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
earnings_quartile,"$841 – $1,250",Table 7,28023,18818,4881,25.93793176745669,25.9,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
earnings_quartile,"$1,251 – $1,970",Table 7,27215,18042,6414,35.55038244097107,35.6,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
earnings_quartile,"$1,971 and higher (highest quartile)",Table 7,27837,19363,9879,51.01998657232867,51.0,True,U.S. Bureau of Labor Statistics,American Time Use Survey (ATUS),"Tables 6 and 7, 2024 annual averages (news release) — Table 7",2024,"Employed persons who worked at home on an average day as percent of employed persons who worked on an average day; 'Working at home' includes any time persons did work at home and is not restricted to persons whose usual workplace is their home. Persons 15+. Table 6: education / full- vs part-time. Table 7: occupation / usual weekly earnings quartiles (full-time wage and salary, single jobholders).",https://www.bls.gov/news.release/archives/atus_06262025.htm,https://www.bls.gov/news.release/archives/atus_06262025.pdf,U.S. Bureau of Labor Statistics (federal statistical agency),RETRIEVED,high,Different metric than ACS usually-WFH. Do not mix with ACS state rates in one comparison. Job level (VP vs IC) is not published; occupation and earnings quartiles are seniority proxies only.
