line_id,analogue_family,metric_role,what_it_measures,value,unit,year,origin,funder,fielded_by,sample,definition_note,not_charter_because,source_title,source_url,confidence
B6,voluntary_lifestyle,employee_interest_not_takeup,Gen Z employees very/extremely interested in employer offering pet insurance,23,percent of employees in generation,2025,RETRIEVED,LIMRA and Ernst & Young LLP,LIMRA/EY,Same source as B4; Gen Z / Millennial / Gen X / Boomers = 23/19/12/9,INTEREST not take-up.,Interest is not election,LIMRA/EY Harnessing Growth in Workforce Benefits: The Next Horizon 2025 Refresh,https://www.limra.com/globalassets/limra-loma/events-learning-and-networking/conferences/2025/workplace-benefits-conference/presentations/gs---harnessing-growth-in-workforce-benefits---2025-refresh.pdf,medium
B7,voluntary_platform,employer_offer,Large employers on Benefitfocus platform offering supplemental/voluntary benefits,44,percent of employers in platform,2025,RETRIEVED,Benefitfocus (Voya Financial) — vendor that sells the enrollment platform,Benefitfocus,316 large employers (1000+ FTEs) on Benefitfocus; >1.8 million employees; enrollment transactions fall 2022-fall 2024 for 1 Jan plan-year effective dates; explicitly not nationally representative,Share offering any of ACC/CI/HI/ID/legal/pet. Up from 41% in 2023. Product-level employee participation percentages are in figures but not cleanly extractable as integers from the public PDF OCR.,Platform mix of large-employer clients is not Charter take-up,Benefitfocus / Voya 2025 State of Employee Benefits Report,https://www.benefitfocus.com/sites/default/files/2025-06/2025%20State%20of%20Employee%20Benefits%20Report.pdf,medium
B8,voluntary_platform,directional_only,Participation rank among Benefitfocus voluntary products,highest in ACC then CI then HI vs legal ID pet,rank (no integer rate retrieved),2025,RETRIEVED,Benefitfocus (Voya Financial),Benefitfocus,Same 316 large employers / 1.8M employees as B7,Public PDF states participation is highest in accident critical-illness and hospital-indemnity vs legal identity-theft and pet. Integer participation rates by product were not retrieved as clean numbers from the public PDF.,Do not invent missing chart integers; rank is not a Charter rate,Benefitfocus / Voya 2025 State of Employee Benefits Report,https://www.benefitfocus.com/sites/default/files/2025-06/2025%20State%20of%20Employee%20Benefits%20Report.pdf,medium
B9,voluntary_vendor_survey,employer_offer,Employers offering supplemental insurance (Aflac employer survey),39,percent of employers,2023,RETRIEVED,Aflac (carrier that sells supplemental insurance); fielded by Kantar,Kantar for Aflac,1201 employers and 2000 employees; U.S.; fielded 2-27 Jun 2023,Employer-reported offer of supplemental insurance. Distinct from 60% of employees who say they have access.,Vendor-funded; supplemental dental/life/vision mix is not internet,Aflac WorkForces Report 2023-2024 — The State of Workplace Benefits and Enrollment,https://www.aflac.com/docs/awr/pdf/2023-trends-and-topics/2023-aflac-awr-the-state-of-workplace-benefits-and-enrollment.pdf,medium
B10,voluntary_vendor_survey,employee_access,Employees reporting access to supplemental benefits at work,60,percent of employees,2023,RETRIEVED,Aflac; fielded by Kantar,Kantar for Aflac,2000 U.S. employees; Jun 2023,Access not take-up. Among those with access the most-elected products are supplemental dental/life/vision which translate to 37/36/33 percent of ALL surveyed employees enrolled in those three.,Access and dental/life/vision elections are not internet take-up,Aflac WorkForces Report 2023-2024 — The State of Workplace Benefits and Enrollment,https://www.aflac.com/docs/awr/pdf/2023-trends-and-topics/2023-aflac-awr-the-state-of-workplace-benefits-and-enrollment.pdf,medium
B11,voluntary_vendor_survey,employer_offer,Employers offering identity-fraud protection (Aflac),25,percent of employers,2023,RETRIEVED,Aflac; fielded by Kantar,Kantar for Aflac,1201 employers; Jun 2023,Employer offer. Paired employee figure in the same exhibit is 38% interested — not enrolled.,Offer/interest gap is not Charter take-up,Aflac WorkForces Report 2023-2024 — The State of Workplace Benefits and Enrollment,https://www.aflac.com/docs/awr/pdf/2023-trends-and-topics/2023-aflac-awr-the-state-of-workplace-benefits-and-enrollment.pdf,medium
B12,voluntary_vendor_survey,employee_interest_not_takeup,Employees interested in identity-fraud protection (Aflac),38,percent of employees,2023,RETRIEVED,Aflac; fielded by Kantar,Kantar for Aflac,2000 employees; Jun 2023,Interest not enrollment.,Interest is not election,Aflac WorkForces Report 2023-2024 — The State of Workplace Benefits and Enrollment,https://www.aflac.com/docs/awr/pdf/2023-trends-and-topics/2023-aflac-awr-the-state-of-workplace-benefits-and-enrollment.pdf,medium
C1,student_loan,employer_offer,Employers offering qualified student-loan payment 401(k)/403(b) match,4,percent of employers,2025,RETRIEVED,SHRM,SHRM,3969 organizations; plan year 2025; first year SHRM asked QSLP,SECURE 2.0 QSLP match — a narrow subset of student-loan benefits. Not employee take-up among borrowers.,QSLP match offer is not internet take-up,SHRM 2025 Employee Benefits Survey executive summary,https://www.shrm.org/content/dam/en/shrm/topics-tools/research/employee-benefits/2025_annual_benefits_survey_executive_summary.pdf,high
C2,student_loan,employer_offer,Organizations offering student-loan repayment assistance,14,percent of organizations,2024,RETRIEVED,International Foundation of Employee Benefit Plans (nonprofit professional association),IFEBP,365 U.S. employers; Education Benefits: 2024 Survey Report; prior wave 2019 was 4%,Employer offer. Another 18% considering. Not take-up among employees with loans.,Offer among IFEBP respondents is not Charter take-up,IFEBP Education Benefits: 2024 Survey Report (press),https://www.ifebp.org/resources---news/news-and-regulatory-updates/press-room/press-releases/2024/12/18/student-loan-repayment-benefits-on-the-rise,medium
C3,student_loan,employer_offer,Organizations offering student-loan repayment (SHRM 2024 wave),9,percent of organizations,2024,RETRIEVED,SHRM,SHRM,SHRM Employee Benefits Survey as cited in SHRM news 2024; up from 7% in 2022,Broader student-loan repayment offer than C1 QSLP match. Still an offer rate.,Offer is not take-up,SHRM news: Student Loan Benefits on the Rise,https://www.shrm.org/mena/topics-tools/news/benefits-compensation/student-loan-benefits-on-the-rise,medium
C4,student_loan,employer_offer,Employers offering company-provided student-loan repayment,4,percent of employers,2017,RETRIEVED,SHRM,SHRM,2017 SHRM customized report; n≈2745,Dated offer rate.,2017 student-loan offer is not 2026 internet take-up,SHRM Customized Employee Benefits Prevalence Benchmarking Report (All Industries All FTEs),https://www.shrm.org/content/dam/en/shrm/topics-tools/news/organizational-employee-development/Benefits-Prevalence-Report-All-Industries-All-FTEs.pdf,medium
D1,internet_stipend,employer_offer,Employers offering free discounted or subsidized home Internet service,5,percent of employers,2017,RETRIEVED,SHRM,SHRM,2017 SHRM customized report; n≈2717 for this item,Closest retrieved analogue to employer-paid home internet as a benefit. Dated. SHRM 2025/2026 exec summaries do not publish an internet-specific stipend rate.,2017 offer prevalence is not Charter 2026 take-up; no Spectrum SKU,SHRM Customized Employee Benefits Prevalence Benchmarking Report (All Industries All FTEs),https://www.shrm.org/content/dam/en/shrm/topics-tools/news/organizational-employee-development/Benefits-Prevalence-Report-All-Industries-All-FTEs.pdf,medium
D2,internet_stipend,employer_offer_broader_than_internet,Employers offering subsidy or reimbursement of remote-work / at-home equipment,55,percent of employers,2025,RETRIEVED,SHRM,SHRM,3969 organizations; plan year 2025,At-home EQUIPMENT subsidy — not internet-specific. Average annual max $888. Do not treat as an internet stipend.,Equipment stipend ≠ home-internet benefit,SHRM 2025 Employee Benefits Survey executive summary,https://www.shrm.org/content/dam/en/shrm/topics-tools/research/employee-benefits/2025_annual_benefits_survey_executive_summary.pdf,high
D3,internet_stipend,employer_offer_broader_than_internet,Employers offering subsidy or reimbursement of remote-work / at-home equipment,53,percent of employers,2026,RETRIEVED,SHRM,SHRM,5472 organizations; fielded 28 Jan-23 Mar 2026; plan year 2026; unweighted,At-home EQUIPMENT subsidy — not internet-specific. Max amount ~$901/year. Among those offering: office technology 95%; cellphone service coverage 35%. Internet/broadband not broken out in the exec summary.,Same as D2; 2026 equipment rate is not internet take-up,SHRM 2026 Employee Benefits Survey executive summary,https://www.shrm.org/content/dam/en/shrm/topics-tools/research/employee-benefits/2026_employee-benefits_executive-summary.pdf,high
E1,commuter,employer_offer,Employers offering a transit subsidy,12,percent of employers,2025,RETRIEVED,SHRM,SHRM,SHRM 2025 Employee Benefits Survey as cited in SHRM news on 2026 IRS commuter limits,Employer offer of a transit subsidy. Not employee take-up of a pretax commuter account.,Transit subsidy offer is not internet take-up,SHRM: IRS Boosts Commuter Benefit Limits for 2026,https://www.shrm.org/topics-tools/news/benefits-compensation/irs-boosts-commuter-benefit-limits-2026,high
E2,commuter,employer_offer,Employers offering a parking subsidy (onsite or offsite),10,percent of employers,2025,RETRIEVED,SHRM,SHRM,Same SHRM 2025 citation as E1,Employer offer. Not take-up.,Parking subsidy is not internet,SHRM: IRS Boosts Commuter Benefit Limits for 2026,https://www.shrm.org/topics-tools/news/benefits-compensation/irs-boosts-commuter-benefit-limits-2026,high
E3,commuter,employee_takeup_among_offered,BART weekday riders who participate given employer offers a pretax transit program,79,percent of riders whose employer offers,2010,RETRIEVED,BART (public transit agency),BART,Approximately 1400 weekday BART riders; online survey; cited 2009 IRS limits,Among riders who have a transit-benefit program at work 79% participate; that is 46% of all respondents. Sample is BART riders not U.S. employees.,Transit-rider sample; pretax commute spend is not home internet; year is 2010,BART Embarcadero kiosk / pretax transit benefits rider survey,https://www.bart.gov/sites/default/files/docs/prextaxsurvey.pdf,medium
E4,commuter,employee_takeup_all_employees,Bay Area employees at covered employers who used at least one commuter benefit in prior 12 months,28,percent of employees at covered employers,2015,RETRIEVED,Bay Area Air Quality Management District / MTC (public regulators of the commuter-benefits mandate),True North Research,Employees working for Bay Area employers with 50+ employees subject to the regulation,28% used at least one commuter benefit; 27% knew it was offered and did not participate; 45% said employer does not offer or were unsure. 16% used pretax transit/vanpool set-aside.,Mandate-driven Bay Area commute program is not a national internet-as-benefit rate,True North Employee Survey Report — Bay Area Commuter Benefits Program (Jun 2015),https://www.baaqmd.gov/~/media/files/planning-and-research/commuter-benefits-program/reports/true-north-employee-survey-report_commuter-benefits-program_6_19_15-pdf.pdf,medium
X1,excluded_secondary,do_not_use,Stealth Agents claim of SHRM internet-specific stipend,38,percent (NOT retrieved from SHRM primary),2025,NOT RETRIEVED FROM PRIMARY,Stealth Agents (secondary aggregator),n/a,n/a,SHRM 2025/2026 exec summaries publish at-home EQUIPMENT subsidy (D2/D3) not a 38% internet-specific breakout. Do not cite.,Secondary restatement not verified against SHRM primary,Stealth Agents Internet Stipend Stats 2026,https://stealthagents.com/research/remote-work-internet-stipend-statistics-2026,exclude
X2,charter_sku,not_in_repo,Charter internet-as-benefit SKU,none documented,n/a,2026,RETRIEVED as absence,n/a,n/a,Repo search of Brokerage Metrics.xlsx; chtr-ehb-broker-channel-core-metrics.canvas.tsx; chtr-ehb-benefits-analogy; CHTR 10-Q/Ex99.1 readable filings,Filings document Spectrum Internet Mobile TV Voice Advanced/Invincible WiFi and rural. No employee-home-internet-as-EH&B SKU.,Cannot invent a SKU or a take-up rate for a SKU that is not in the repo,Decisions/EH&B/Brokerage Metrics.xlsx plus PrimarySources/readable CHTR filings,n/a,high
